Var1,time,acc_x,acc_y,acc_z,pulse,eda
297,2970,239.26,73.24,960.45,0.43,8.59
298,2980,251.95,55.66,951.17,0.43,8.59
299,2990,237.3,64.94,960.94,0.43,8.5
300,3000,232.91,56.15,970.7,0.43,8.56
301,3010,246.09,62.99,963.38,0.43,8.59
302,3020,246.09,68.85,958.98,0.43,8.43
303,3030,240.72,56.15,953.61,0.43,8.47
304,3040,241.21,62.5,955.57,0.43,8.59
305,3050,238.28,43.46,952.15,0.44,8.44
306,3060,251.46,62.99,950.2,0.43,8.4
307,3070,251.95,67.38,953.12,0.43,8.48
308,3080,240.72,54.69,958.01,0.43,8.78
309,3090,242.19,54.69,949.71,0.43,8.65
310,3100,240.23,54.2,971.68,0.43,8.32
311,3110,236.33,64.94,956.05,0.43,8.5
312,3120,245.61,64.94,958.01,0.43,8.64
313,3130,230.96,61.04,967.29,0.43,8.53
314,3140,238.28,59.57,964.36,0.43,8.29
315,3150,236.33,57.13,946.78,0.43,8.5
316,3160,243.16,61.04,961.43,0.43,8.5
317,3170,238.77,56.15,957.52,0.43,8.59
318,3180,245.12,55.18,960.94,0.43,8.36
319,3190,243.65,65.43,948.24,0.43,8.5
320,3200,237.3,54.69,960.45,0.44,8.46
321,3210,227.05,62.5,960.45,0.43,8.63
322,3220,240.72,52.25,965.82,0.43,8.56
323,3230,243.65,66.41,961.43,0.43,8.39
324,3240,241.7,48.83,952.15,0.43,8.42
325,3250,235.35,58.59,971.68,0.43,8.42
326,3260,243.65,55.18,958.98,0.43,8.53
327,3270,244.14,54.2,960.45,0.43,8.65
328,3280,253.91,69.82,950.68,0.42,8.56
329,3290,249.02,62.5,953.12,0.42,8.56
330,3300,241.21,64.45,971.68,0.43,8.43
331,3310,245.12,72.27,958.98,0.43,8.39
332,3320,245.12,57.13,961.91,0.43,8.41
333,3330,233.4,58.59,954.1,0.44,8.48
334,3340,236.82,59.08,954.1,0.44,8.38
335,3350,251.46,63.48,958.5,0.45,8.5
336,3360,241.21,50.78,962.4,0.46,8.54
337,3370,249.02,50.78,958.5,0.46,8.67
338,3380,239.75,57.13,950.2,0.47,8.64
339,3390,240.23,61.04,954.1,0.48,8.56
340,3400,251.95,57.13,945.8,0.48,8.59
341,3410,249.02,52.25,964.36,0.48,8.4
342,3420,236.82,57.62,946.29,0.48,8.5
343,3430,247.07,64.45,955.08,0.48,8.5
344,3440,253.91,67.38,951.17,0.48,8.52
345,3450,244.63,64.94,956.05,0.47,8.69
346,3460,235.84,58.11,960.45,0.46,8.56
347,3470,247.56,59.08,955.57,0.46,8.56
348,3480,230.96,57.62,947.75,0.45,8.49
349,3490,247.07,66.41,959.47,0.44,8.38
350,3500,252.93,66.41,969.73,0.43,8.47
351,3510,246.09,42.97,965.82,0.43,8.4
352,3520,243.65,59.08,944.34,0.42,8.44
353,3530,261.72,72.75,966.31,0.42,8.53
354,3540,247.07,59.57,959.47,0.42,8.56
355,3550,248.05,47.36,957.52,0.41,8.61
356,3560,248.05,59.08,950.68,0.41,8.59
357,3570,235.84,57.13,958.5,0.41,8.7
358,3580,243.65,61.52,966.8,0.41,8.5
359,3590,237.79,52.73,957.03,0.41,8.41
360,3600,235.35,51.27,951.66,0.41,8.59
361,3610,237.79,59.08,952.64,0.42,8.59
362,3620,247.56,66.41,966.31,0.42,8.59
363,3630,240.23,67.87,955.08,0.43,8.65
364,3640,256.35,59.08,946.29,0.43,8.49
365,3650,240.23,68.85,961.43,0.43,8.49
366,3660,240.23,65.43,958.98,0.44,8.46
367,3670,248.05,68.36,966.31,0.44,8.44
368,3680,243.65,56.15,959.96,0.44,8.56
369,3690,243.65,51.76,950.68,0.43,8.61
370,3700,240.72,59.08,967.77,0.44,8.42
371,3710,243.65,64.45,961.91,0.44,8.49
372,3720,238.77,63.48,957.52,0.44,8.42
373,3730,238.28,52.73,951.66,0.44,8.58
374,3740,249.02,67.38,965.82,0.44,8.5
375,3750,244.14,54.2,968.75,0.44,8.46
376,3760,242.68,56.15,948.24,0.44,8.49
377,3770,260.74,62.5,957.52,0.44,8.5
378,3780,250.49,55.66,954.59,0.44,8.49
379,3790,239.75,62.99,965.33,0.44,8.67
380,3800,245.61,62.99,957.52,0.44,8.5
381,3810,243.65,54.2,952.15,0.43,8.56
382,3820,250.98,60.06,963.87,0.44,8.65
383,3830,242.68,54.69,952.64,0.43,8.69
384,3840,239.75,62.5,955.08,0.43,8.49
385,3850,237.3,68.36,959.47,0.43,8.69
386,3860,244.14,45.9,962.89,0.43,8.62
387,3870,236.82,60.55,950.2,0.43,8.53
388,3880,235.35,70.31,958.01,0.43,8.44
389,3890,254.39,62.99,947.27,0.43,8.64
390,3900,244.14,52.73,965.82,0.42,8.44
391,3910,246.58,61.04,957.52,0.42,9.08
392,3920,236.82,65.43,965.82,0.42,8.49
393,3930,232.42,71.29,964.84,0.42,8.65
394,3940,237.3,57.13,960.94,0.42,8.44
395,3950,248.05,67.87,956.54,0.43,8.4
396,3960,234.86,60.55,948.73,0.42,8.45
397,3970,230.96,59.08,948.73,0.42,8.95
398,3980,232.91,64.45,960.94,0.42,8.87
399,3990,234.37,62.01,955.08,0.42,8.48
400,4000,247.07,54.2,962.89,0.43,8.36
401,4010,232.42,56.64,961.43,0.43,8.65
402,4020,246.58,51.76,954.1,0.43,8.58
403,4030,263.67,64.45,957.52,0.43,8.55
404,4040,244.14,68.36,957.03,0.43,8.59
405,4050,247.07,65.43,962.89,0.43,8.56
406,4060,247.07,62.99,957.03,0.43,8.69
407,4070,235.84,57.62,962.4,0.43,8.47
408,4080,243.16,55.66,968.75,0.43,8.38
409,4090,239.75,57.62,958.01,0.43,8.47
410,4100,235.35,68.85,954.59,0.43,8.4
411,4110,238.77,74.22,958.5,0.43,8.48
412,4120,231.93,58.59,960.94,0.44,8.5
413,4130,237.79,49.8,956.54,0.44,8.65
414,4140,240.72,62.99,958.5,0.45,8.5
415,4150,243.65,70.8,955.57,0.46,8.49
416,4160,251.95,55.66,958.98,0.46,8.44
417,4170,235.35,57.13,961.91,0.47,8.61
418,4180,250,57.13,954.1,0.47,8.53
419,4190,236.82,55.18,952.64,0.48,8.59
420,4200,229.98,58.59,950.2,0.48,8.44
421,4210,251.46,63.48,961.43,0.48,8.5
422,4220,239.75,56.64,958.5,0.47,8.63
423,4230,239.75,68.85,953.12,0.47,8.51
424,4240,256.84,65.92,956.05,0.47,8.34
425,4250,247.56,58.59,961.43,0.46,8.48
426,4260,238.77,70.31,970.21,0.46,8.59
427,4270,244.14,59.08,959.96,0.45,8.6
428,4280,252.44,62.99,968.26,0.44,8.51
429,4290,235.84,66.41,955.08,0.44,8.53
430,4300,252.93,67.38,959.96,0.43,8.62
431,4310,243.65,63.48,957.52,0.42,8.6
432,4320,241.21,64.94,956.05,0.42,8.31
433,4330,236.82,45.9,960.45,0.42,8.53
434,4340,246.58,62.01,957.03,0.41,8.6
435,4350,244.14,62.99,949.71,0.42,8.58
436,4360,247.07,50.78,951.66,0.42,8.53
437,4370,242.68,52.25,949.71,0.42,8.33
438,4380,244.14,61.04,946.78,0.42,8.5
439,4390,253.91,63.48,958.5,0.42,8.48
440,4400,250,48.34,946.78,0.42,8.59
441,4410,243.65,59.08,957.03,0.43,8.53
442,4420,250.98,65.92,966.31,0.43,8.25
443,4430,237.3,63.48,958.01,0.43,8.43
444,4440,243.16,57.62,951.17,0.43,8.44
445,4450,237.3,56.64,956.54,0.44,8.69
446,4460,262.7,54.69,949.22,0.44,8.42
447,4470,241.7,44.92,960.45,0.44,8.47
448,4480,246.09,68.85,964.84,0.44,8.36
449,4490,258.3,54.69,948.24,0.44,8.53
450,4500,244.63,68.36,945.31,0.44,8.56
451,4510,259.28,62.99,960.45,0.44,8.5
452,4520,244.63,70.8,952.64,0.44,8.31
453,4530,246.09,68.36,947.27,0.44,8.69
454,4540,245.61,56.64,958.5,0.44,8.55
455,4550,254.39,56.64,943.36,0.43,8.48
456,4560,232.91,64.94,968.75,0.43,8.5
457,4570,236.33,52.73,962.89,0.43,8.53
458,4580,239.75,60.06,958.5,0.43,8.66
459,4590,238.28,54.69,952.64,0.43,8.48
460,4600,246.58,56.15,957.03,0.42,8.44
461,4610,246.09,59.08,949.22,0.42,8.59
462,4620,245.61,52.25,961.43,0.43,8.59
463,4630,235.84,60.55,955.08,0.43,8.4
464,4640,247.07,62.5,955.08,0.43,8.58
465,4650,253.91,57.13,959.96,0.43,8.47
466,4660,262.21,49.32,953.61,0.43,8.46
467,4670,247.56,59.57,954.1,0.43,8.58
468,4680,250,53.22,956.05,0.43,8.32
469,4690,249.02,70.8,944.34,0.43,8.58
470,4700,249.02,42.97,963.38,0.43,8.44
471,4710,248.05,64.45,953.61,0.43,8.48
472,4720,244.14,66.89,962.89,0.43,8.56
473,4730,233.89,71.29,954.1,0.43,8.52
474,4740,246.58,66.89,951.66,0.43,8.39
475,4750,238.77,67.87,952.64,0.43,8.7
476,4760,238.77,65.43,960.94,0.43,8.5
477,4770,253.91,64.94,947.27,0.43,8.44
478,4780,244.14,64.45,949.71,0.43,8.62
479,4790,244.63,59.08,948.24,0.43,8.4
480,4800,244.63,69.82,962.89,0.43,8.39
481,4810,254.88,63.96,955.57,0.43,8.62
482,4820,254.39,56.15,959.96,0.44,8.41
483,4830,249.51,72.75,957.52,0.42,8.5
484,4840,244.14,78.12,965.82,0.43,8.66
485,4850,238.77,65.92,953.61,0.44,8.33
486,4860,242.19,75.2,962.4,0.44,8.48
487,4870,233.89,64.94,961.43,0.44,8.56
488,4880,239.75,62.99,961.91,0.45,8.42
489,4890,249.02,65.92,950.2,0.45,8.45
490,4900,263.18,50.29,965.82,0.46,8.59
491,4910,253.42,55.18,952.15,0.46,8.48
492,4920,249.51,51.76,955.08,0.47,8.42
493,4930,244.63,67.87,956.54,0.47,8.45
494,4940,236.33,71.29,952.64,0.49,8.51
495,4950,231.93,58.11,954.1,0.48,8.53
496,4960,246.09,67.38,951.17,0.48,8.33
497,4970,256.84,48.83,944.34,0.48,8.58
498,4980,236.33,75.2,958.5,0.48,8.58
499,4990,251.46,65.43,947.75,0.47,8.42
500,5000,242.68,60.06,974.61,0.47,8.39
501,5010,242.19,61.52,957.52,0.46,8.58
502,5020,252.93,47.36,958.98,0.46,8.4
503,5030,243.65,62.01,957.52,0.45,8.59
504,5040,239.75,55.66,946.78,0.45,8.48
505,5050,246.58,56.64,951.17,0.44,8.42
506,5060,252.44,59.57,956.54,0.43,8.5
507,5070,240.72,65.43,957.03,0.43,8.64
508,5080,237.79,56.15,951.17,0.43,8.39
509,5090,236.33,57.62,946.78,0.42,8.33
510,5100,246.58,58.59,952.15,0.43,8.56
511,5110,235.84,65.43,956.05,0.42,8.47
512,5120,245.61,54.69,958.5,0.42,8.58
513,5130,242.19,57.62,946.78,0.42,8.64
514,5140,229,49.32,958.98,0.42,8.65
515,5150,248.05,63.96,952.64,0.42,8.45
516,5160,232.91,57.62,951.17,0.42,8.58
517,5170,257.32,57.62,962.89,0.41,8.46
518,5180,229.49,67.38,958.5,0.42,8.34
519,5190,241.21,67.38,959.96,0.43,8.5
520,5200,234.37,58.11,963.87,0.43,8.5
521,5210,238.28,66.89,955.08,0.43,8.38
522,5220,249.02,66.41,966.8,0.44,8.4
523,5230,252.93,53.22,966.8,0.44,8.56
